work_order_id,seat_id,registration,suite,opened_at,closed_at,reported_fault_code,reported_symptom,station,action_taken,part_replaced,outcome,shop_finding,labour_hours,total_cost_eur
WO-70131,D-AXFC-1A,D-AXFC,1A,2025-04-25T17:00:00Z,2025-05-03T17:00:00Z,F-23-3401,"1A screen off after 6 hrs cruise, seat box very warm to the touch.",JFK,Harness segment replaced,DA-CON-3390,CONFIRMED_FAULT,Defect confirmed on bench test,5.9,3800
WO-70136,D-AXFE-3A,D-AXFE,3A,2025-05-04T08:00:00Z,2025-05-11T08:00:00Z,F-25-2166,"3A: USB dead, no light on the port.",GRU,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,0.7,0
WO-70008,D-AXFA-4K,D-AXFA,4K,2025-05-06T01:00:00Z,2025-05-17T01:00:00Z,F-25-2101,"Seat 4K backrest jerky, would not go flat for the night service.",MUC,"Functional test only, no defect found",,CONFIRMED_FAULT,Defect confirmed on bench test,4.7,10000
WO-70041,D-AXFA-3A,D-AXFA,3A,2025-05-08T19:00:00Z,2025-05-09T19:00:00Z,F-25-2101,"3A recline stops halfway, motor sounds loud. Reset via cabin panel no effect.",FRA,Component replaced,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,3.3,33800
WO-70039,D-AXFD-1K,D-AXFD,1K,2025-05-12T13:00:00Z,2025-05-15T13:00:00Z,,"1K cushion cover loose, cosmetic only.",FRA,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,2.3,0
WO-70050,D-AXFA-4A,D-AXFA,4A,2025-05-13T21:00:00Z,2025-05-17T21:00:00Z,F-23-3401,"4A screen off after 6 hrs cruise, seat box very warm to the touch.",JNB,Cleaning and lubrication,,NFF,No fault found on bench test,5.4,0
WO-70081,D-AXFA-3A,D-AXFA,3A,2025-05-15T22:00:00Z,2025-05-22T22:00:00Z,F-25-2188,"3A divider stuck approx. 20 cm out, cabin crew secured it manually.",JFK,Cleaning and lubrication,,CONFIRMED_FAULT,Defect confirmed on bench test,4.5,0
WO-70043,D-AXFF-3K,D-AXFF,3K,2025-05-22T21:00:00Z,2025-05-30T21:00:00Z,F-23-3401,"IFE at 3K went black mid-flight, came back after approx. 20 min.",MUC,Component replaced,,NFF,No fault found on bench test,0.8,0
WO-70093,D-AXFF-3A,D-AXFF,3A,2025-05-24T13:00:00Z,2025-05-28T13:00:00Z,F-25-2188,"3A divider stuck approx. 20 cm out, cabin crew secured it manually.",JNB,Cleaning and lubrication,DA-CON-3390,CONFIRMED_FAULT,Defect confirmed on bench test,5.5,13800
WO-70004,D-AXFD-2A,D-AXFD,2A,2025-06-07T05:00:00Z,2025-06-09T05:00:00Z,F-25-2166,"2A: USB dead, no light on the port.",MUC,Connector re-seated and locked,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,4.3,3800
WO-70045,D-AXFB-3K,D-AXFB,3K,2025-06-11T05:00:00Z,2025-06-18T05:00:00Z,F-25-2188,"Privacy divider 3K does not fully stow for landing, had to be pushed by hand.",FRA,Component replaced,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,3.1,13800
WO-70110,D-AXFC-3K,D-AXFC,3K,2025-06-20T12:00:00Z,2025-07-01T12:00:00Z,F-25-2166,"USB socket 3K not charging, pax used the spare seat.",GRU,Component replaced,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,4.2,3800
WO-70084,D-AXFC-2K,D-AXFC,2K,2025-06-20T20:00:00Z,2025-06-21T20:00:00Z,F-25-2101,"Suite 2K: backrest moves very slowly, pax complained twice during cruise.",FRA,Software reload,DA-HRN-7712,CONFIRMED_FAULT,Defect confirmed on bench test,3.1,33800
WO-70102,D-AXFF-1A,D-AXFF,1A,2025-06-22T15:00:00Z,2025-07-01T15:00:00Z,F-25-2188,"Privacy divider 1A does not fully stow for landing, had to be pushed by hand.",GRU,Component replaced,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,4.0,13800
WO-70120,D-AXFD-4A,D-AXFD,4A,2025-06-24T14:00:00Z,2025-07-06T14:00:00Z,F-25-2166,"4A: USB dead, no light on the port.",SIN,Component replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,0.7,0
WO-70029,D-AXFA-3K,D-AXFA,3K,2025-06-29T19:00:00Z,2025-07-05T19:00:00Z,F-25-2166,"USB socket 3K not charging, pax used the spare seat.",FRA,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,4.7,0
WO-70044,D-AXFC-4K,D-AXFC,4K,2025-07-02T00:00:00Z,2025-07-05T00:00:00Z,F-25-2101,"Seat 4K backrest jerky, would not go flat for the night service.",SIN,Connector re-seated and locked,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,2.2,23800
WO-70020,D-AXFF-3K,D-AXFF,3K,2025-07-12T02:00:00Z,2025-07-15T02:00:00Z,F-25-2188,"Privacy divider 3K does not fully stow for landing, had to be pushed by hand.",MUC,Connector re-seated and locked,DA-ACT-2201,CONFIRMED_FAULT,Defect confirmed on bench test,3.4,23800
WO-70073,D-AXFB-2K,D-AXFB,2K,2025-07-17T02:00:00Z,2025-07-26T02:00:00Z,F-25-2166,"2K: USB dead, no light on the port.",JFK,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,5.4,0
WO-70127,D-AXFF-1K,D-AXFF,1K,2025-07-22T10:00:00Z,2025-07-28T10:00:00Z,F-25-2188,"1K divider stuck approx. 20 cm out, cabin crew secured it manually.",SIN,Software reload,,CONFIRMED_FAULT,Defect confirmed on bench test,3.5,0
WO-70108,D-AXFB-1K,D-AXFB,1K,2025-07-25T00:00:00Z,2025-07-29T00:00:00Z,F-25-2140,"Suite 1K controls dead for approx. 2 min after take-off, then normal again.",HND,Cleaning and lubrication,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,4.9,13800
WO-70113,D-AXFD-2K,D-AXFD,2K,2025-07-26T20:00:00Z,2025-07-29T20:00:00Z,F-25-2188,"2K divider stuck approx. 20 cm out, cabin crew secured it manually.",HND,Cleaning and lubrication,DA-HRN-7712,CONFIRMED_FAULT,Defect confirmed on bench test,4.1,23800
WO-70030,D-AXFE-3K,D-AXFE,3K,2025-07-26T22:00:00Z,2025-08-03T22:00:00Z,F-23-3401,"3K screen off after 6 hrs cruise, seat box very warm to the touch.",HND,Software reload,DA-ACT-2201,NFF,No fault found on bench test,3.1,5250
WO-70057,D-AXFD-3K,D-AXFD,3K,2025-08-03T08:00:00Z,2025-08-04T08:00:00Z,,"Suite 3K: cosmetic scuff on the table edge, no function impact.",MUC,Component replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,5.6,0
WO-70140,D-AXFD-4K,D-AXFD,4K,2025-08-05T13:00:00Z,2025-08-08T13:00:00Z,F-25-2166,"4K: USB dead, no light on the port.",MUC,Cleaning and lubrication,DA-HRN-7712,CONFIRMED_FAULT,Defect confirmed on bench test,4.2,3800
WO-70122,D-AXFE-3A,D-AXFE,3A,2025-08-08T01:00:00Z,2025-08-17T01:00:00Z,F-25-2101,"Suite 3A: backrest moves very slowly, pax complained twice during cruise.",SIN,Harness segment replaced,DA-CON-3390,CONFIRMED_FAULT,Defect confirmed on bench test,1.3,3800
WO-70051,D-AXFD-1K,D-AXFD,1K,2025-08-11T06:00:00Z,2025-08-11T06:00:00Z,,"Suite 1K: cosmetic scuff on the table edge, no function impact.",MUC,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,1.5,0
WO-70042,D-AXFA-3A,D-AXFA,3A,2025-08-16T00:00:00Z,2025-08-28T00:00:00Z,F-23-3401,"3A screen off after 6 hrs cruise, seat box very warm to the touch.",SIN,Cleaning and lubrication,,CONFIRMED_FAULT,Defect confirmed on bench test,0.5,0
WO-70098,D-AXFC-1K,D-AXFC,1K,2025-08-20T04:00:00Z,2025-08-23T04:00:00Z,F-23-3401,"1K screen off after 6 hrs cruise, seat box very warm to the touch.",MUC,"Functional test only, no defect found",DA-CSH-0450,CONFIRMED_FAULT,Defect confirmed on bench test,2.1,3800
WO-70085,D-AXFD-3A,D-AXFD,3A,2025-09-02T02:00:00Z,2025-09-14T02:00:00Z,F-23-3401,"IFE at 3A went black mid-flight, came back after approx. 20 min.",MUC,Component replaced,DA-CSH-0450,NFF,No fault found on bench test,5.4,5250
WO-70017,D-AXFF-3A,D-AXFF,3A,2025-09-04T00:00:00Z,2025-09-10T00:00:00Z,F-25-2188,"Privacy divider 3A does not fully stow for landing, had to be pushed by hand.",JFK,"Functional test only, no defect found",DA-CSH-0450,CONFIRMED_FAULT,Defect confirmed on bench test,4.1,33800
WO-70006,D-AXFB-1K,D-AXFB,1K,2025-09-08T10:00:00Z,2025-09-17T10:00:00Z,F-25-2166,"USB socket 1K not charging, pax used the spare seat.",HND,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,5.7,0
WO-70037,D-AXFB-2A,D-AXFB,2A,2025-09-10T17:00:00Z,2025-09-12T17:00:00Z,,"2A cushion cover loose, cosmetic only.",JFK,Component replaced,,NFF,No fault found on bench test,2.0,0
WO-70104,D-AXFA-4K,D-AXFA,4K,2025-09-18T13:00:00Z,2025-09-28T13:00:00Z,F-23-3401,"IFE at 4K went black mid-flight, came back after approx. 20 min.",JNB,Component replaced,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,2.2,3800
WO-70062,D-AXFF-4A,D-AXFF,4A,2025-09-20T15:00:00Z,2025-09-22T15:00:00Z,F-25-2101,"Seat 4A backrest jerky, would not go flat for the night service.",JFK,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,2.5,20000
WO-70101,D-AXFF-2K,D-AXFF,2K,2025-09-30T01:00:00Z,2025-10-11T01:00:00Z,F-25-2140,"2K: seat panel froze during climb, worked again in cruise. Not reproducible on ground.",MUC,"Functional test only, no defect found",DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,1.2,33800
WO-70068,D-AXFA-1K,D-AXFA,1K,2025-10-01T20:00:00Z,2025-10-12T20:00:00Z,F-25-2166,"1K: USB dead, no light on the port.",GRU,Cleaning and lubrication,DA-CON-3390,CONFIRMED_FAULT,Defect confirmed on bench test,0.5,3800
WO-70047,D-AXFA-3K,D-AXFA,3K,2025-10-06T10:00:00Z,2025-10-07T10:00:00Z,F-25-2188,"Privacy divider 3K does not fully stow for landing, had to be pushed by hand.",JFK,Connector re-seated and locked,DA-ACT-2205,CONFIRMED_FAULT,Defect confirmed on bench test,1.2,3800
WO-70124,D-AXFD-1K,D-AXFD,1K,2025-10-08T11:00:00Z,2025-10-16T11:00:00Z,F-23-3401,"1K screen off after 6 hrs cruise, seat box very warm to the touch.",JFK,Connector re-seated and locked,DA-CON-3390,NFF,No fault found on bench test,1.1,5250
WO-70055,D-AXFA-1A,D-AXFA,1A,2025-10-14T02:00:00Z,2025-10-14T02:00:00Z,,"Suite 1A: cosmetic scuff on the table edge, no function impact.",JFK,Component replaced,,NFF,No fault found on bench test,2.7,0
WO-70088,D-AXFE-4K,D-AXFE,4K,2025-10-22T23:00:00Z,2025-10-25T23:00:00Z,F-25-2166,"4K: USB dead, no light on the port.",FRA,"Functional test only, no defect found",DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,1.9,3800
WO-70036,D-AXFC-3K,D-AXFC,3K,2025-11-12T12:00:00Z,2025-11-15T12:00:00Z,F-25-2140,"Suite 3K controls dead for approx. 2 min after take-off, then normal again.",FRA,Cleaning and lubrication,DA-CON-3390,NFF,No fault found on bench test,5.2,15250
WO-70109,D-AXFD-1K,D-AXFD,1K,2025-11-30T05:00:00Z,2025-12-04T05:00:00Z,F-25-2166,"USB socket 1K not charging, pax used the spare seat.",JNB,Harness segment replaced,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,1.3,3800
WO-70064,D-AXFB-4K,D-AXFB,4K,2025-11-30T15:00:00Z,2025-12-06T15:00:00Z,F-25-2140,"Intermittent loss of seat control 4K, happened three times, always around turbulence.",JNB,"Functional test only, no defect found",,CONFIRMED_FAULT,Defect confirmed on bench test,5.8,10000
WO-70033,D-AXFA-2K,D-AXFA,2K,2025-12-12T01:00:00Z,2025-12-19T01:00:00Z,F-25-2166,"2K: USB dead, no light on the port.",MUC,Software reload,DA-IFE-9002,CONFIRMED_FAULT,Defect confirmed on bench test,1.2,3800
WO-70028,D-AXFB-3K,D-AXFB,3K,2025-12-17T00:00:00Z,2025-12-23T00:00:00Z,F-25-2166,"USB socket 3K not charging, pax used the spare seat.",JNB,Connector re-seated and locked,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,1.8,3800
WO-70132,D-AXFC-1K,D-AXFC,1K,2025-12-17T09:00:00Z,2025-12-24T09:00:00Z,,"Suite 1K: cosmetic scuff on the table edge, no function impact.",JNB,Software reload,,CONFIRMED_FAULT,Defect confirmed on bench test,5.3,0
WO-70077,D-AXFB-2K,D-AXFB,2K,2025-12-18T07:00:00Z,2025-12-30T07:00:00Z,F-25-2166,"2K: USB dead, no light on the port.",FRA,Cleaning and lubrication,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,5.3,3800
